2025-09-03T18:05:19.014968,UPBIT,257,4.28,257
2025-09-03T18:05:49.263756,UPBIT,473,7.88,479
2025-09-03T18:06:19.433174,UPBIT,630,10.50,892
2025-09-03T18:06:49.871619,UPBIT,709,11.82,1194
2025-09-03T18:07:19.960688,UPBIT,744,12.40,1646
2025-09-03T18:07:50.119738,UPBIT,661,11.02,1856
2025-09-03T18:09:58.418129,UPBIT,196,3.27,196
2025-09-03T18:10:28.486571,UPBIT,401,6.68,404
2025-09-03T18:10:58.545757,UPBIT,410,6.83,607
2025-09-03T18:11:28.564540,UPBIT,524,8.73,929
2025-09-03T18:11:58.683596,UPBIT,687,11.45,1296
2025-09-03T18:12:28.922613,UPBIT,714,11.90,1646
2025-09-03T18:12:59.122394,UPBIT,650,10.83,1948
2025-09-03T18:13:29.180476,UPBIT,544,9.07,2198
2025-09-03T18:13:59.309376,UPBIT,514,8.57,2463
2025-09-03T18:14:29.378260,UPBIT,543,9.05,2746
2025-09-03T18:14:59.667388,UPBIT,585,9.75,3049
2025-09-03T18:15:29.716501,UPBIT,616,10.27,3363
2025-09-03T18:16:00.005740,UPBIT,551,9.18,3604
2025-09-03T18:16:30.074460,UPBIT,528,8.80,3893
2025-09-03T18:17:00.133404,UPBIT,497,8.28,4102
2025-09-03T18:17:30.462448,UPBIT,576,9.60,4471
2025-09-03T18:18:00.482341,UPBIT,625,10.42,4755
2025-09-03T18:18:30.500211,UPBIT,524,8.73,4996
2025-09-03T18:19:00.549636,UPBIT,675,11.25,5434
2025-09-03T18:19:30.668239,UPBIT,816,13.60,5813
2025-09-03T18:20:00.668960,UPBIT,654,10.90,6092
2025-09-03T18:20:30.716575,UPBIT,620,10.33,6433
2025-09-03T18:21:00.965298,UPBIT,699,11.65,6791
2025-09-03T18:21:31.184012,UPBIT,705,11.75,7141
2025-09-03T18:22:02.033126,UPBIT,677,11.28,7476
2025-09-03T18:22:32.121986,UPBIT,674,11.23,7827
2025-09-03T18:23:02.191068,UPBIT,680,11.33,8157
2025-09-03T18:23:32.309826,UPBIT,607,10.12,8437
2025-09-03T18:24:02.349002,UPBIT,522,8.70,8680
2025-09-03T18:24:32.448102,UPBIT,466,7.77,8903
2025-09-03T18:25:02.506822,UPBIT,580,9.67,9265
2025-09-03T18:25:32.525990,UPBIT,616,10.27,9519
2025-09-03T18:26:02.976540,UPBIT,534,8.90,9800
